order_item_id,order_id,product_id,quantity,unit_price
1,1,163,1,193.8
2,1,156,2,395.52
3,1,43,2,1153.5
4,2,153,1,318.02
5,2,121,1,159.37
6,2,138,1,280.61
7,3,27,1,628.59
8,3,103,1,228.45
9,3,160,1,196.53
10,4,19,2,968.43
11,5,172,1,315.29
12,6,102,1,579.6
13,6,31,1,545.46
14,7,115,1,884.91
15,7,193,2,413.08
16,7,178,1,325.76
17,8,157,1,256.68
18,8,175,1,367.55
19,8,164,2,132.23
20,9,166,1,265.95
21,9,14,1,1816.72
22,9,135,1,296.31
23,9,55,2,447.91
24,10,192,1,485.89
25,10,171,1,401.39
26,10,98,2,941.99
27,10,124,1,159.92
28,11,151,1,120.27
29,11,10,2,548.39
30,12,98,1,941.99
31,12,196,1,140.76
32,13,148,1,256.17
33,14,115,1,827.49
34,15,117,1,815.03
35,15,118,1,376.78
36,15,76,1,623.01
37,16,133,2,164.76
38,17,174,1,274.33
39,18,82,1,966.66
40,19,3,1,507.92
41,19,49,1,965.83
42,19,193,1,471.55
43,19,95,1,392.24
44,20,119,1,431.6
45,20,59,2,270.86
46,21,108,1,613.75
47,22,100,1,282.13
48,23,192,2,485.89
49,23,105,1,691.55
50,23,66,1,448.66
51,23,70,1,250.59
52,24,135,1,296.31
53,24,127,1,44.16
54,25,176,1,436.2
55,26,18,1,1417.1
56,27,120,1,307.6
57,28,85,1,359.28
58,28,164,1,132.23
59,28,113,1,901.51
60,29,41,1,937.24
61,29,158,1,187.89
62,30,124,2,159.92
63,31,125,1,143.55
64,32,67,1,340.18
65,32,167,1,266.31
66,33,45,1,1129.1
67,33,75,1,1126.52
68,33,73,2,1064.65
69,34,2,1,623.26
70,35,185,1,189.69
71,36,46,1,415.12
72,37,112,1,678.18
73,38,198,1,413.05
74,39,91,1,138.11
75,39,179,1,154.28
76,40,111,1,865.78
77,40,170,1,290.79
78,40,120,1,339.07
79,41,67,1,340.18
80,41,136,1,276.75
81,41,29,1,1836.52
82,42,70,1,250.59
83,42,160,1,196.53
84,43,149,2,183.34
85,44,156,1,374.38
86,44,159,1,361.97
87,45,170,1,290.79
88,45,41,1,1041.67
89,45,196,1,140.76
90,46,85,1,359.28
91,46,65,1,260.61
92,47,140,1,131.82
93,47,2,1,623.26
94,48,186,1,401.69
95,49,174,1,274.33
96,50,144,1,273.77
97,51,35,1,1777.25
98,52,104,1,187.47
99,53,68,1,449.81
100,54,9,1,744.5
101,55,46,1,397.06
102,56,171,1,401.39
103,57,148,1,256.17
104,58,131,1,30.63
105,59,189,1,479.1
106,59,87,1,594.37
107,59,142,2,193.6
108,60,186,1,359.67
109,60,83,2,208.24
110,61,21,2,627.51
111,61,139,1,217.91
112,61,15,1,1527.31
113,62,200,1,94.39
114,63,23,1,766.48
115,64,3,2,539.1
116,65,146,1,252.07
117,66,144,1,273.77
118,67,200,1,105.06
119,67,106,1,618.93
120,67,89,1,486.42
121,68,150,3,265.65
122,69,193,1,471.55
123,70,76,1,543.33
124,71,52,3,1128.91
125,71,25,2,1802.19
126,71,34,1,1993.79
127,72,57,1,181.92
128,72,116,1,899.2
129,72,90,1,538.64
130,73,114,1,732.93
131,74,5,1,442.46
132,74,18,1,1417.1
133,75,61,1,776.21
134,75,2,1,623.26
135,75,22,1,751.38
136,76,38,1,946.27
137,77,110,2,389.61
138,77,6,1,1071.23
139,77,74,1,578.97
140,78,81,1,931.48
141,78,77,1,861.87
142,78,45,1,1129.1
143,79,98,1,941.99
144,80,133,1,164.76
145,80,166,1,265.95
146,81,119,1,428.64
147,82,55,1,447.91
148,83,33,1,1354.25
